"filename", "language", "JSON", "JSON with Comments", "HTML", "TypeScript", "SCSS", "JavaScript", "Markdown", "XML", "YAML", "comment", "blank", "total"
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-create\election-create.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-list\election-list.component.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-list\election-list.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 13, 63
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\election-setting.component.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 3, 44
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\election-setting.component.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\election-setting.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\eliminar\eliminar.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\eliminar\eliminar.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\eliminar\eliminar.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\eliminar\eliminar.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\fecha\fecha.component.html", "HTML", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\fecha\fecha.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\general\general.component.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\general\general.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\resultados\resultados.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\resultados\resultados.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\resultados\resultados.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\resultados\resultados.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\votantes\votantes.component.html", "HTML", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\votantes\votantes.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\votantes\votantes.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-setting\votantes\votantes.component.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 52
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-widget\election-widget.component.html", "HTML", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 1, 95
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-widget\election-widget.component.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\model\election.model.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\routes.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\service\election.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\icons\coreui-icons.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\icons\coreui-icons.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\icons\routes.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\login\auth-guard.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\login\auth.interceptor.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\login\auth.service.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 16, 72
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\login\login.component.html", "HTML", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\login\login.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 17, 68
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page404\page404.component.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page404\page404.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page404\page404.component.spec.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page404\page404.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page500\page500.component.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page500\page500.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page500\page500.component.spec.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\page500\page500.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\register\register.component.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 8, 54
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\register\register.component.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\pages\routes.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\user\list-user\list-user.component.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\user\list-user\list-user.component.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 9, 54
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\user\model\user.model.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\user\routes.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\user\service\user.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 6, 22
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\components\voter-edit\voter-edit.component.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\components\voter-edit\voter-edit.component.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\components\voter-form\voter-form.component.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 6, 55
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\components\voter-form\voter-form.component.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 13, 84
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\components\voter-list\voter-list.component.html", "HTML", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\components\voter-list\voter-list.component.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 14, 10, 93
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\model\voter.model.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\routes.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\voter\service\voter.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
